rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
35,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",9,27,6,"17404537"
36,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",1,23,47,"17385151"
37,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",1,41,102,"17363330"
38,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",4,32,6,"17040268"
39,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",2,38,69,"17034542"
40,"spotify:track:6hkOqJ5mE093AQf2lbZnsG","Katy Perry","The One That Got Away","Capitol Records",40,59,6,"16718471"
41,"spotify:track:4vVTI94F9uJ8lHNDWKv0i2","Sean Kingston, Justin Bieber","Eenie Meenie - Radio Version","Epic/Legacy",14,14,4,"16668128"
42,"spotify:track:50kpGaPAhYJ3sGmk6vplg0","Justin Bieber","Love Yourself","RBMG/Def Jam",15,15,67,"16549624"
43,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,40,69,"16278175"
44,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",7,56,89,"15931616"
45,"spotify:track:7tICCrK3CcyRFKza7yrR0z","sombr","Homewrecker","Warner Records",21,39,12,"15910721"
46,"spotify:track:5nEdwtSv0qqeE0l4o1lR4q","Sean Paul, Keyshia Cole","(When You Gonna) Give It Up to Me - Radio Version","VP Records",36,43,15,"15817474"
47,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",16,45,296,"15801951"
48,"spotify:track:4fEUmNN8KK5sNqvKjBstKg","Noah Kahan","End of August","Mercury Records",48,-1,1,"15678332"
49,"spotify:track:4ck9vo0gEmjVHWUb5q2rYe","Noah Kahan","The Great Divide","Mercury Records",16,-1,5,"15385065"
50,"spotify:track:3WRgRy12YW4I9mjodKXWwy","Noah Kahan","American Cars","Mercury Records",50,-1,1,"14852290"
51,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",8,58,229,"14793193"
52,"spotify:track:6rlU0kRQNjMZ7t5I92yCIi","Noah Kahan","Dashboard","Mercury Records",52,-1,1,"14745137"
53,"spotify:track:0lYBSQXN6rCTvUZvg9S0lU","DJ Snake, Justin Bieber","Let Me Love You","DJ Snake Def Jam",4,35,103,"14737310"
54,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",44,69,218,"14737167"
55,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, Wizkid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",12,64,276,"14492214"
56,"spotify:track:5g7sDjBhZ4I3gcFIpkrLuI","Bruno Mars","Locked out of Heaven","Atlantic Records",18,53,195,"14466471"
57,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",35,67,25,"14228339"
58,"spotify:track:46eu3SBuFCXWsPT39Yg3tJ","Michael Jackson","Don't Stop 'Til You Get Enough","Epic",58,-1,1,"14224618"
59,"spotify:track:0RsH8g8DxdYZgdGcod5I36","Banjaare","Bairan","Sony Music India / Brown",35,55,8,"14179776"
60,"spotify:track:567e29TDzLwZwfDuEpGTwo","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,36,178,"14129946"
61,"spotify:track:4KmkJjHTNlr1jFY56Lyz4E","KATSEYE","PINKY UP","HYBE/Geffen",18,44,3,"14126265"
62,"spotify:track:0KmrKOdScRDVYwWS8hkkdv","BTS","FYA","BIGHIT MUSIC",5,51,6,"13897233"
63,"spotify:track:0MUXBhPUDF8or0kfQ0EHwV","Sam Fender, Olivia Dean","Rein Me In (with Olivia Dean)","Polydor Records",56,79,9,"13861034"
64,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",11,50,45,"13844120"
65,"spotify:track:5T7ywazdGIydr6JCW6t02j","Michael Jackson","Smooth Criminal - 2012 Remaster","Epic/Legacy",65,-1,1,"13802697"
66,"spotify:track:0b61A7v9agI08BG21jJPQ9","BTS","they don’t know ’bout us","BIGHIT MUSIC",10,57,6,"13768150"
67,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",1,66,107,"13762087"
68,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",27,70,126,"13691749"
69,"spotify:track:4B4Q7zfd0aHcuhQBfCRnH5","BTS","NORMAL","BIGHIT MUSIC",6,54,6,"13607857"
70,"spotify:track:69ghzc538EQSVon2Gm3wrr","Justin Bieber","One Less Lonely Girl","RBMG/Def Jam",70,75,2,"13593370"
71,"spotify:track:5sX4UiPdOdndSEWA6asUgh","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",30,77,20,"13516345"
72,"spotify:track:7N3d1hsZZpmmnovfAtnVFU","Noah Kahan","Porch Light","Mercury Records",45,-1,3,"13475563"
73,"spotify:track:4qW3BbQAwZsrnu8a3ZRdyT","Temper City","Self Aware","Temper City under exclusive license to Thirty Knots",73,107,4,"13420149"
74,"spotify:track:5tGnphp8D9Doa2ZULhJSMx","Noah Kahan","Downfall","Mercury Records",74,-1,1,"13327353"
75,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",30,96,272,"13254077"
